ORDER ID, HON1, HON2, ACCOUNT, BUYSELL, FUNCCODE, PRICE, QUANTITY, TIME, CONFTIME, CTI, ASKPRICE, ASKQUANTITY, BIDPRICE, BIDQUANTITY, EXCHANGE, MAX SHOW FLAG, MATCH NUMBER, TRANSACTION ID, 
1, 1, -, 8274, 2, 001, 1101.75, 5, -73:41, -73:41, 2, 1000, 0, 1000, 0, OFR, -, -, 1, 
2, 1, -, 8274, 2, 001, 1101.5, 5, -73:41, -73:41, 2, 1000, 0, 1000, 0, OFR, -, -, 2, 
3, 1, -, 8274, 2, 001, 1101.25, 5, -73:41, -73:41, 2, 1000, 0, 1000, 0, OFR, -, -, 3, 
4, 1, -, 8274, 2, 001, 1101, 5, -73:41, -73:41, 2, 1000, 0, 1000, 0, OFR, -, -, 4, 
5, 1, -, 8274, 2, 001, 1100.75, 5, -73:41, -73:41, 2, 1000, 0, 1000, 0, OFR, -, -, 5, 
6, 1, -, 8274, 2, 001, 1100.5, 5, -73:41, -73:41, 2, 1000, 0, 1000, 0, OFR, -, -, 6, 
7, 1, -, 8274, 2, 001, 1100.25, 5, -73:41, -73:41, 2, 1000, 0, 1000, 0, OFR, -, -, 7, 
8, 1, -, 8274, 1, 001, 1099.75, 5, -73:41, -73:41, 2, 1100.25, 0, 1099.75, 0, OFR, -, -, 8, 
9, 1, -, 8274, 1, 001, 1099.5, 5, -73:41, -73:41, 2, 1100.25, 0, 1099.75, 0, OFR, -, -, 9, 
10, 1, -, 8274, 1, 001, 1099.25, 5, -73:41, -73:41, 2, 1100.25, 0, 1099.75, 0, OFR, -, -, 10, 
11, 1, -, 8274, 1, 001, 1099, 5, -73:41, -73:41, 2, 1100.25, 0, 1099.75, 0, OFR, -, -, 11, 
12, 1, -, 8274, 1, 001, 1098.75, 5, -73:41, -73:41, 2, 1100.25, 0, 1099.75, 0, OFR, -, -, 12, 
13, 1, -, 8274, 1, 001, 1098.5, 5, -73:41, -73:41, 2, 1100.25, 0, 1099.75, 0, OFR, -, -, 13, 
14, 1, -, 8274, 1, 001, 1098.25, 5, -73:41, -73:41, 2, 1100.25, 0, 1099.75, 0, OFR, -, -, 14, 
15, 1, -, 9373, 1, 001, 1099.25, 10, -70:50, -70:50, 1, 1100.25, 0, 1099.75, 0, OFR, -, -, 15, 
